Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
1,1,Miss,20,NE,Miss,0.4005699,0.4
1,2,Miss,30,N,Miss,0.4001131,0.4
1,3,Miss,30,NW,Miss,0.4005661,0.4
1,4,Miss,20,SE,Miss,0.6005363,0.6
1,5,Miss,30,S,Miss,0.2005577,0.2
1,6,Miss,10,NW,Miss,0.200325,0.2
1,7,Miss,10,NW,Miss,0.6010742,0.6
Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
1,1,Miss,10,SE,Miss,0.4010496,0.4
1,2,Miss,30,E,Miss,0.200304,0.2
1,3,Miss,30,W,Miss,0.6013222,0.6
1,4,0.7921543,10,NW,W,0.4010391,0.4
1,5,0.8822479,20,NE,NE,0.600172,0.6
1,6,0.9205112,30,NE,NE,0.4002266,0.4
1,7,0.7021904,10,NE,NE,0.400631,0.4
Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
1,1,0.4593639,30,NW,N,0.2006111,0.2
1,2,0.4971008,30,E,NW,11.60445,0.6
1,3,0.5919523,30,NE,NE,0.2003269,0.2
1,4,0.6523972,30,SE,SE,0.4003201,0.4
1,5,0.57271,30,SW,SW,0.4009056,0.4
1,6,0.5810184,20,NW,NW,0.4013424,0.4
1,7,0.4412842,30,N,N,0.2003841,0.2
Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
1,1,0.3681097,10,SW,SW,8.400685,0.4
1,2,0.7510052,20,N,S,0.4007082,0.4
1,3,0.4913893,20,S,N,0.401144,0.4
1,4,0.3211956,20,W,SE,0.200695,0.2
1,5,0.2714291,10,SE,W,0.2012005,0.2
1,6,0.2422581,30,SE,E,0.2003231,0.2
1,7,0.351738,30,N,NW,22.89622,0.4
1,8,0.3098011,10,E,NE,25.25609,0.4
1,9,Miss,10,N,Miss,0.4002666,0.4
Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
1,1,Miss,20,SW,Miss,0.410326,0.4
1,2,Miss,10,S,Miss,0.2000885,0.2
1,3,Miss,20,NW,Miss,0.6108627,0.6
1,4,Miss,20,E,Miss,0.4097633,0.4
1,5,Miss,30,S,Miss,0.2106819,0.2
1,6,Miss,30,SE,Miss,0.2026024,0.2
1,7,Miss,20,N,Miss,0.4005318,0.4
1,8,Miss,10,W,Miss,0.415226,0.4
1,9,Miss,10,SW,Miss,0.2152634,0.2
1,10,Miss,30,NE,Miss,0.4024086,0.4
1,1,Miss,30,NW,Miss,0.6011124,0.6
1,2,Miss,20,N,Miss,0.2026443,0.2
Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
Block,Trial,Reaction Time,Eccentricity,StimulusDirection,Response,Actual Display Time,Set Display Time
1,1,Miss,10,W,Miss,0.6092052,0.6
1,2,Miss,10,SE,Miss,0.2110043,0.2
1,3,Miss,20,S,Miss,0.2109184,0.2
1,4,Miss,20,NE,Miss,0.4002686,0.4
1,5,Miss,10,SW,Miss,0.2108307,0.2
1,6,Miss,20,W,Miss,0.6023178,0.6
1,7,Miss,30,E,Miss,0.6100807,0.6
1,8,Miss,10,S,Miss,0.2144852,0.2
1,9,Miss,20,NE,Miss,0.2096863,0.2
1,10,Miss,20,NW,Miss,0.2110062,0.2
1,1,Miss,30,NE,Miss,0.6063995,0.6
1,2,Miss,20,SE,Miss,0.2002487,0.2
1,3,Miss,20,SE,Miss,0.4107285,0.4
